Wine Name,Year,Winery,Rating,num_review,Price,Region,Country,Flavour group 1,Flavour group 2,Flavour group 3,Grapes 1,Grapes 2,Acidity,Sweetness,Intensity,Type
1270 A Vuit 'Fina' Red ,2019.0,Hidalgo Albert,3.9,102,74.25,Priorat,Spain,oak,earth,red_fruit,shiraz-syrah,cabernet-sauvignon,3.5,1.0,5.0,red wine
Grauburgunder ,2021.0,Weingut Harteneck,3.9,25,53.775,Baden,Germany,tree_fruit,citrus_fruit,floral,pinot-gris,0,2.5,1.5,3.0,white wine
Grüner Veltliner ,2022.0,Hareter,3.5,177,38.655,Neusiedlersee,Austria,tree_fruit,citrus_fruit,spices,gruner-veltliner,0,4.0,1.0,2.0,white wine
Zweigelt ,2021.0,Hareter,3.7,276,38.655,Neusiedlersee,Austria,spices,black_fruit,earth,zweigelt,0,4.0,1.0,3.0,red wine
Alte Reben Riesling Spätlese Trocken ,2021.0,Frank Brohl,3.9,62,71.77499999999999,Mosel,Germany,earth,tropical_fruit,tree_fruit,riesling,0,5.0,1.0,3.0,white wine
Ciliegiolo Maremma Toscana ,2017.0,LaSelva,4.1,29,85.27499999999999,Maremma Toscana,Italy,red_fruit,earth,spices,cabernet-sauvignon,merlot,3.0,1.0,3.0,red wine
Señorio de Arriezu Rioja Crianza ,2018.0,Navarrsotillo,3.5,49,49.275,Rioja,Spain,non_oak,oak,spices,tempranillo,graciano,4.0,1.0,4.0,red wine
Codecce ,2022.0,Azienda Agricola Pisoni,3.8,229,58.275,Trentino-Alto Adige,Italy,earth,tree_fruit,oak,arneis,pinot-blanc,3.0,2.0,4.0,white wine
Nero di Troia ,2019.0,Cantine Losito - Terre del Gargano,3.7,33,57.375,Puglia,Italy,black_fruit,oak,earth,primitivo,aglianico,2.0,2.0,5.0,red wine
Don VincEnzo Chianti Classico Grand Selection ,2013.0,Casaloste,4.2,46,247.5,Chianti Classico,Italy,oak,earth,non_oak,sangiovese,0,4.5,1.0,3.5,red wine
Chardonnay ,2021.0,Osteria,2.9,51,24.705000000000002,Terre di Chieti,Italy,tropical_fruit,earth,microbio,trebbiano,verdicchio,4.0,2.0,3.0,white wine
Crianza ,2019.0,Bodegas Parra Jimenez,3.4,222,31.455000000000002,La Mancha,Spain,spices,earth,non_oak,shiraz-syrah,0,3.0,1.0,4.0,red wine
Weissburgunder Trocken ,2022.0,Mohr,3.4,61,44.505,Rheingau,Germany,citrus_fruit,floral,vegetal,pinot-blanc,0,4.0,1.0,3.0,white wine
Tinto ,2022.0,Paramo Arroyo,3.9,101,37.30499999999999,Ribera del Duero,Spain,oak,black_fruit,red_fruit,tempranillo,0,4.0,1.0,4.0,red wine
Osoti Barrica Tempranillo Blanco ,2023.0,Viñedos Ruiz Jiménez,3.9,335,34.155,Rioja,Spain,oak,microbio,tree_fruit,viura,0,3.0,1.5,4.5,white wine
Chardonnay Côtes du Jura ,2021.0,Domaine Grand,3.6,332,98.77499999999999,Côtes du Jura,France,earth,tree_fruit,oak,chardonnay,0,5.0,1.0,2.0,white wine
Cabernet Sauvignon ,2020.0,Monterra,4.0,110,125.77499999999999,McLaren Vale,Australia,black_fruit,oak,earth,cabernet-sauvignon,0,3.5,1.0,4.0,red wine
Teroldego Morei ,2015.0,Foradori,3.9,326,143.775,Vigneti delle Dolomiti,Italy,earth,red_fruit,black_fruit,nebbiolo,barbera,2.0,1.5,4.0,red wine
Cabernet Sauvignon ,2020.0,Eos Estate,3.8,34,77.85000000000001,Central Coast,United States,oak,black_fruit,red_fruit,cabernet-sauvignon,0,3.0,1.0,5.0,red wine
Sauternes ,2020.0,Château La Fleur d’Or,4.0,913,53.550000000000004,Sauternes,France,earth,tree_fruit,citrus_fruit,sauvignon-blanc,semillion,4.5,5.0,5.0,dessert wine
Châteauneuf-du-Pape Croix De Bois  ,2010.0,M. Chapoutier,4.1,122,378.0,Châteauneuf-du-Pape,France,black_fruit,oak,earth,shiraz-syrah,mourvedre,3.0,1.0,5.0,red wine
Vallegarcía Syrah ,2018.0,Pago de Vallegarcía,4.3,449,98.77499999999999,Castilla,Spain,oak,earth,black_fruit,shiraz-syrah,0,3.0,1.0,4.0,red wine
Côtes-du-Rhône-Villages ,2020.0,Domaine Autrand,3.8,77,40.275,Côtes-du-Rhône-Villages,France,black_fruit,red_fruit,spices,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Sancerre Blanc ,2023.0,Jean Jacques Bardin,4.0,133,77.85000000000001,Sancerre,France,tropical_fruit,vegetal,red_fruit,chenin-blanc,sauvignon-blanc,4.0,1.0,2.0,white wine
Domaine de La Curniére Vacqueyras ,2022.0,Vignerons de Caractere,3.7,45,69.52499999999999,Vacqueyras,France,black_fruit,spices,oak,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Saint-Émilion Grand Cru ,2022.0,Château du Cauze,3.8,2431,175.275,Saint-Émilion Grand Cru,France,oak,black_fruit,non_oak,cabernet-sauvignon,cabernet-franc,3.5,1.0,4.5,red wine
Zinfandel ,2012.0,Peter Franus,4.1,139,191.25,Napa Valley,United States,oak,non_oak,spices,zinfandel,0,1.5,2.0,5.0,red wine
Côtes du Rhône Villages ,2021.0,Arc du Rhône,3.5,1017,89.77499999999999,Côtes-du-Rhône-Villages,France,red_fruit,oak,black_fruit,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Bordeaux ,2018.0,Château Lauduc,3.9,132,94.5,Bordeaux,France,red_fruit,earth,oak,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.0,red wine
Corbières Rouge ,2014.0,Château Trillol,3.6,83,62.775,Corbières,France,oak,non_oak,black_fruit,shiraz-syrah,grenache-noir,4.0,1.0,4.0,red wine
Bordeaux ,2022.0,Château du Grand Jardin,3.3,199,28.53,Bordeaux,France,black_fruit,0,0,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.0,red wine
Pinot Grigio ,2019.0,Cantina Kurtatsch,3.9,285,44.775,Südtirol - Alto Adige,Italy,tree_fruit,citrus_fruit,earth,pinot-grigio,0,2.5,1.5,3.0,white wine
Barbera d'Alba ,2019.0,Castello di Verduno,3.9,57,103.27499999999999,Barbera d'Alba,Italy,red_fruit,earth,oak,barbera,0,4.0,1.0,3.5,red wine
Cabernet ,2021.0,Urbano Salvan,4.0,132,33.074999999999996,Colli Euganei,Italy,black_fruit,dried_fruit,red_fruit,nebbiolo,barbera,2.0,1.5,4.0,red wine
Etna Calderara Bianco ,2018.0,Cottanera,3.9,192,80.55,Etna,Italy,tree_fruit,citrus_fruit,earth,malvasia,fiano,2.0,1.0,4.0,white wine
Amarone della Valpolicella Classico Scarnocchio Tenuta Lena di Mezzo ,2017.0,Monte del Frá,4.3,54,224.91,Amarone della Valpolicella,Italy,oak,red_fruit,black_fruit,corvina,rondinella,2.0,3.0,5.0,red wine
Capogatto Alta Valle della Greve ,2013.0,Poggio Scalette,3.9,75,148.85999999999999,Alta Valle della Greve,Italy,black_fruit,earth,oak,cabernet-sauvignon,merlot,3.0,1.0,3.0,red wine
Ega ,2023.0,Monte del Frá,4.1,77,43.56,Verona,Italy,red_fruit,0,0,arneis,pinot-blanc,3.0,2.0,4.0,white wine
Rialto Rosso ,2021.0,Cantina Colli Euganei,3.8,75,39.15,Colli Euganei,Italy,red_fruit,oak,0,nebbiolo,barbera,2.0,1.5,4.0,red wine
Merlot ,2022.0,Cantina Colli Euganei,3.6,1071,34.875,Colli Euganei,Italy,black_fruit,microbio,red_fruit,nebbiolo,barbera,2.0,1.5,4.0,red wine
Verdazzo ,2022.0,Tagaro,3.6,110,43.875,Valle d'Itria,Italy,earth,tree_fruit,citrus_fruit,malvasia,fiano,2.0,1.0,4.0,white wine
Ritocco Valpolicella Valpantena ,2020.0,Cantina Valpantena,3.7,304,44.910000000000004,Valpolicella Valpantena,Italy,red_fruit,black_fruit,dried_fruit,corvina,rondinella,3.5,1.5,3.0,red wine
Les Hauts de Tour de Pez Saint-Estèphe ,2018.0,Château Tour de Pez,3.6,43,94.5,Saint-Estèphe,France,earth,oak,0,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Pomerol ,2010.0,Château Bellegrave,4.3,634,297.0,Pomerol,France,oak,black_fruit,earth,cabernet-sauvignon,cabernet-franc,3.5,1.0,4.5,red wine
Le Bailly de Camensac Haut-Médoc ,2015.0,Château de Camensac,3.6,63,172.79999999999998,Haut-Médoc,France,earth,0,0,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.5,red wine
Les Charmes de Château Broustet Sauternes ,2017.0,Château Broustet,4.2,55,129.6,Sauternes,France,earth,tropical_fruit,tree_fruit,sauvignon-blanc,semillion,4.5,5.0,5.0,dessert wine
Barsac (Grand Cru Classé) ,2016.0,Château Nairac,4.2,1959,199.79999999999998,Barsac,France,earth,tree_fruit,oak,sauvignon-blanc,semillion,4.5,5.0,5.0,dessert wine
Le Comte ,2011.0,Château Malartic-Lagravière,3.8,374,189.0,Pessac-Léognan,France,black_fruit,oak,earth,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Saint-Émilion Grand Cru ,2021.0,Château Moulin Saint-Georges,4.1,4045,156.6,Saint-Émilion Grand Cru,France,oak,black_fruit,earth,cabernet-sauvignon,cabernet-franc,3.5,1.0,4.5,red wine
